Town,household_size
Bethel,2.76
Bridgeport,2.70
Brookfield,2.80
Danbury,2.64
Darien,2.95
Easton,2.95
Fairfield,2.61
Greenwich,2.60
Monroe,2.96
New Canaan,2.83
New Fairfield,3.01
Newtown,2.90
Norwalk,2.51
Redding,2.83
Ridgefield,2.78
Shelton,2.65
Sherman,2.67
Stamford,2.54
Stratford,2.49
Trumbull,2.82
Weston,3.03
Westport,2.66
Wilton,2.91
Avon,2.53
Berlin,2.67
Bloomfield,2.41
Bristol,2.38
Burlington,2.88
Canton,2.49
East Granby,2.57
East Hartford,2.42
East Windsor,2.34
Enfield,2.53
Farmington,2.46
Glastonbury,2.57
Granby,2.71
Hartford,2.58
Hartland,2.83
Manchester,2.32
Marlborough,2.79
New Britain,2.40
Newington,2.39
Plainville,2.32
Rocky Hill,2.26
Simsbury,2.70
Southington,2.59
South Windsor,2.72
Suffield,2.55
West Hartford,2.39
Wethersfield,2.31
Windsor,2.61
Windsor Locks,2.43
Barkhamsted,2.62
Bethlehem,2.69
Bridgewater,2.55
Canaan,2.43
Colebrook,2.60
Cornwall,2.33
Goshen,2.53
Harwinton,2.70
Kent,2.43
Litchfield,2.45
Morris,2.52
New Hartford,2.72
New Milford,2.68
Norfolk,2.44
North Canaan,2.38
Plymouth,2.60
Roxbury,2.52
Salisbury,2.19
Sharon,2.26
Thomaston,2.57
Torrington,2.33
Warren,2.52
Washington,2.42
Watertown,2.67
Winchester,2.42
Woodbury,2.48
Chester,2.38
Clinton,2.55
Cromwell,2.35
Deep River,2.46
Durham,2.85
East Haddam,2.58
East Hampton,2.63
Essex,2.27
Haddam,2.64
Killingworth,2.74
Middlefield,2.56
Middletown,2.23
Old Saybrook,2.41
Portland,2.52
Westbrook,2.39
Ansonia,2.46
Beacon Falls,2.58
Bethany,2.87
Branford,2.26
Cheshire,2.71
Derby,2.32
East Haven,2.49
Guilford,2.59
Hamden,2.35
Madison,2.72
Meriden,2.49
Middlebury,2.66
Milford,2.48
Naugatuck,2.60
New Haven,2.40
North Branford,2.70
North Haven,2.65
Orange,2.77
Oxford,2.94
Prospect,2.83
Seymour,2.49
Southbury,2.41
Wallingford,2.52
Waterbury,2.46
West Haven,2.42
Wolcott,2.79
Woodbridge,2.84
Bozrah,2.64
Colchester,2.75
East Lyme,2.50
Franklin,2.66
Griswold,2.55
Groton,2.41
Lebanon,2.77
Ledyard,2.78
Lisbon,2.67
Lyme,2.35
Montville,2.63
New London,2.26
North Stonington,2.71
Norwich,2.34
Old Lyme,2.50
Preston,2.55
Salem,2.84
Sprague,2.63
Stonington,2.31
Voluntown,2.66
Waterford,2.41
Andover,2.64
Bolton,2.63
Columbia,2.65
Coventry,2.69
Ellington,2.48
Hebron,2.88
Mansfield,2.40
Somers,2.78
Stafford,2.56
Tolland,2.83
Union,2.43
Vernon,2.26
Willington,2.52
Ashford,2.59
Brooklyn,2.59
Canterbury,2.73
Chaplin,2.62
Eastford,2.62
Hampton,2.61
Killingly,2.53
Plainfield,2.65
Pomfret,2.64
Putnam,2.38
Scotland,2.81
Sterling,2.78
Thompson,2.55
Windham,2.47
Woodstock,2.62
